Active;FirstName;LastName;GenderAsString;CantonName;CantonAbbreviation;CouncilName;ParlGroupName;ParlGroupAbbreviation;PartyName;PartyAbbreviation;MaritalStatusText;BirthPlace_City;BirthPlace_Canton;Mandates;DateJoining;DateLeaving;Citizenship;DateOfBirth;DateOfDeath
FAUX;Alfred;Ackermann;m;Lucerne;LU;Conseil national;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;14/09/1953;01/06/1970;Entlebuch (LU);02/04/1907;12/12/1997
FAUX;Peter;Acklin;m;Argovie;AG;Conseil national;;;Conservateurs;Cons*;;;;;07/12/1863;02/12/1866;Herznach (AG);21/02/1821;02/12/1879
FAUX;Jakob Josef;Adam;m;Bâle-Campagne;BL;Conseil national;Gauche;LG;Parti radical-démocratique suisse;PRD;;;;;07/12/1863;01/06/1868;Allschwil (BL);12/02/1828;21/01/1888
FAUX;Jules-Henri;Addor;m;Vaud;VD;Conseil national;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;06/12/1943;30/11/1947;Vuiteboeuf (VD);21/09/1894;17/12/1953
VRAI;Jean-Luc;Addor;m;Valais;VS;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;marié(e);Lausanne;Vaud;"Député au Grand Conseil: 2005-2015; Conseiller communal à Savièse: 2009-2015";30/11/2015;;Ste-Croix (VD),Savièse (VS);22/04/1964;
FAUX;Gustave;Ador;m;Genève;GE;Conseil fédéral;;;Parti libéral suisse;PLS;;;;;26/06/1917;31/12/1919;Vuiteboeuf (VD),Genève (GE);23/12/1845;31/03/1928
FAUX;Gustave;Ador;m;Genève;GE;Conseil des Etats;Centre;MC;Démocrates;Dém*;;;;;02/12/1878;01/09/1880;Vuiteboeuf (VD),Genève (GE);23/12/1845;31/03/1928
FAUX;Gustave;Ador;m;Genève;GE;Conseil national;;;Parti libéral suisse;PLS;;;;;25/03/1889;01/02/1902;Vuiteboeuf (VD),Genève (GE);23/12/1845;31/03/1928
FAUX;Gustave;Ador;m;Genève;GE;Conseil national;;;Parti libéral suisse;PLS;;;;;25/03/1889;01/02/1902;Vuiteboeuf (VD),Genève (GE);23/12/1845;31/03/1928
FAUX;Gustave;Ador;m;Genève;GE;Conseil national;;;Parti libéral suisse;PLS;;;;;01/10/1902;01/06/1917;Vuiteboeuf (VD),Genève (GE);23/12/1845;31/03/1928
FAUX;Gustave;Ador;m;Genève;GE;Conseil fédéral;;;Parti libéral suisse;PLS;;;;;01/01/1919;31/12/1919;Vuiteboeuf (VD),Genève (GE);23/12/1845;31/03/1928
FAUX;Ernst;Aebersold;m;Berne;BE;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;01/12/1947;23/11/1958;Rubigen (BE);29/03/1887;23/11/1958
FAUX;Andreas;Aebi;m;Berne;BE;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;marié(e);Burgdorf;Berne;"Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008";03/12/2007;04/12/2011;Wynigen (BE);26/11/1958;
FAUX;Andreas;Aebi;m;Berne;BE;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;marié(e);Burgdorf;Berne;"Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008";05/12/2011;29/11/2015;Wynigen (BE);26/11/1958;
VRAI;Andreas;Aebi;m;Berne;BE;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;marié(e);Burgdorf;Berne;"Legislative der Gemeinde: seit Januar 2000; Gemeindepräsident von Alchenstorf: von 1998 bis 2008";30/11/2015;;Wynigen (BE);26/11/1958;
FAUX;Paul;Aebischer;m;Berne;BE;Conseil national;Groupe démocrate et évangélique;DE;Parti évangélique suisse;PEV;;;;;04/12/1967;27/02/1971;Guggisberg (BE);02/11/1908;27/02/1971
FAUX;Matthias;Aebischer;m;Berne;BE;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Schwarzenburg;Berne;;05/12/2011;29/11/2015;Guggisberg (BE);18/10/1967;
FAUX;Max;Aebischer;m;Fribourg;FR;Conseil national;Groupe conservateur-catholique;K;Conservateurs;Cons*;;;;;03/12/1951;24/11/1969;Saint-Ours (FR),Heitenried (FR);02/01/1914;28/02/2009
VRAI;Matthias;Aebischer;m;Berne;BE;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Schwarzenburg;Berne;;30/11/2015;;Guggisberg (BE);18/10/1967;
FAUX;Pierre;Aeby;m;Fribourg;FR;Conseil des Etats;Groupe socialiste;S;Parti socialiste suisse;PSS;;Berne;Berne;1978 à 1981 exécutif communal, 1992 à en fonction exécutif cantonal;04/12/1995;05/12/1999;Guin (FR);14/02/1950;
FAUX;Paul;Aeby;m;Fribourg;FR;Conseil national;;;Conservateurs;Cons*;;;;;18/06/1883;18/07/1898;Fribourg (FR);13/11/1841;18/07/1898
FAUX;Paul;Aeby;m;Fribourg;FR;Conseil national;;;Conservateurs;Cons*;;;;;14/02/1881;01/10/1881;Fribourg (FR);13/11/1841;18/07/1898
FAUX;Pierre;Aeby;m;Fribourg;FR;Conseil national;Groupe conservateur-catholique;K;Conservateurs;Cons*;;;;;01/12/1931;30/11/1947;Fribourg (FR);06/05/1884;04/02/1957
FAUX;Pierre;Aeby;m;Fribourg;FR;Conseil national;Groupe conservateur-catholique;K;Conservateurs;Cons*;;;;;01/12/1931;30/11/1947;Fribourg (FR);06/05/1884;04/02/1957
FAUX;Pierre;Aeby;m;Fribourg;FR;Conseil national;Groupe conservateur-catholique;K;Conservateurs;Cons*;;;;;01/12/1931;30/11/1947;Fribourg (FR);06/05/1884;04/02/1957
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;01/07/1850;01/06/1851;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;01/12/1851;01/12/1852;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil national;Centre;MC;Libéral;Lib*;;;;;02/12/1872;01/05/1883;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil national;Centre;MC;Libéral;Lib*;;;;;02/12/1872;01/05/1883;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil national;Centre;MC;Libéral;Lib*;;;;;02/12/1872;01/05/1883;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;04/07/1853;01/12/1853;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;03/07/1865;01/06/1872;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;03/07/1865;01/06/1872;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;03/07/1865;01/06/1872;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;07/12/1857;01/06/1864;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;Arnold Otto;Aepli;m;St-Gall;SG;Conseil des Etats;Centre;MC;Libéral;Lib*;;;;;16/04/1849;01/11/1849;St-Gall (SG),Diessenhofen (TG);22/08/1816;04/12/1897
FAUX;A. Otto;Aepli;m;Thurgovie;TG;Conseil des Etats;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;27/01/1919;04/11/1921;St-Gall (SG),Diessenhofen (TG);18/04/1870;04/11/1921
FAUX;Regine;Aeppli Wartmann;f;Zurich;ZH;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Winterthur;Zurich;Kantonsrätin von 1987 bis 1996;04/12/1995;30/11/2003;Zurich (ZH),Stäfa (ZH),Bauma (ZH);05/10/1952;
FAUX;Adolf;Aeschbach;m;Argovie;AG;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;06/12/1943;06/12/1959;Burg (AG);08/10/1888;19/03/1969
FAUX;Ruedi;Aeschbacher;m;Zurich;ZH;Conseil national;Groupe évangélique et indépendant;E;Parti évangélique suisse;PEV;;St. Gall;St-Gall;"Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978; Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994; Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000";06/12/1999;30/11/2003;Zurich (ZH),Trachselwald (BE);15/09/1941;
FAUX;Ruedi;Aeschbacher;m;Zurich;ZH;Conseil national;Groupe PDC/PEV/PVL;CEg;Parti évangélique suisse;PEV;;St. Gall;St-Gall;"Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978; Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994; Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000";03/12/2007;30/05/2010;Zurich (ZH),Trachselwald (BE);15/09/1941;
FAUX;Ruedi;Aeschbacher;m;Zurich;ZH;Conseil national;Groupe PEV/UDF;E;Parti évangélique suisse;PEV;;St. Gall;St-Gall;"Legislative der Gemeinde: Gemeinderat Stadt Zürich September 1977 bis April 1978; Exekutive der Gemeinde: Stadtrat Stadt Zürich April 1978 bis April 1994; Legislative des Kantons: Kantonsrat Zürich, Mai 1995 bis März 2000";01/12/2003;02/12/2007;Zurich (ZH),Trachselwald (BE);15/09/1941;
FAUX;Ferdinand;Aeschbacher;m;Zurich;ZH;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;04/12/1939;01/12/1940;Rüderswil (BE);11/11/1893;07/01/1950
FAUX;Thomas;Aeschi;m;Zoug;ZG;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;;Zoug;Zoug;Legislative des Kantons (Kantonsrat): von 2010 bis 2012;05/12/2011;29/11/2015;Himmelried (SO),Baar (ZG),Bâle (BS);13/01/1979;
VRAI;Thomas;Aeschi;m;Zoug;ZG;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;;Zoug;Zoug;Legislative des Kantons (Kantonsrat): von 2010 bis 2012;30/11/2015;;Himmelried (SO),Baar (ZG),Bâle (BS);13/01/1979;
VRAI;Thomas;Aeschi;m;Zoug;ZG;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;;Zoug;Zoug;Legislative des Kantons (Kantonsrat): von 2010 bis 2012;30/11/2015;;Himmelried (SO),Baar (ZG),Bâle (BS);13/01/1979;
FAUX;Hans;Affolter;m;Soleure;SO;Conseil national;;;Parti socialiste suisse;PSS;;;;;04/12/1911;11/12/1930;Soleure (SO),Niedergerlafingen (SO);02/10/1870;28/09/1936
FAUX;Amanz Kaspar;Affolter;m;Soleure;SO;Conseil des Etats;;;Parti radical-démocratique suisse;PRD;;;;;07/07/1856;28/09/1861;Niedergerlafingen (SO);10/06/1825;28/09/1861
FAUX;Max;Affolter;m;Soleure;SO;Conseil des Etats;Groupe radical-libéral;R;Parti radical-démocratique suisse;PRD;;;;;26/11/1979;01/03/1991;Gerlafingen (SO),Olten (SO);30/12/1923;08/03/1991
FAUX;Alfred;Affolter;m;Zurich;ZH;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;26/11/1979;27/11/1983;Leuzigen (BE);24/05/1941;
FAUX;Emilio;Agostinetti;m;Tessin;TI;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;01/12/1947;01/12/1966;Gerra (Gambarogno) (TI);27/02/1912;04/08/1983
FAUX;Pierre;Aguet;m;Vaud;VD;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Pompaples;Vaud;Conseiller communal de 1965 à 1982, Conseiller municipal depuis 1982, Législatif cantonal: Député de 1974 à 1987;04/12/1995;05/12/1999;Sullens (VD),Lutry (VD);02/03/1938;
FAUX;Pierre;Aguet;m;Vaud;VD;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Pompaples;Vaud;Conseiller communal de 1965 à 1982, Conseiller municipal depuis 1982, Législatif cantonal: Député de 1974 à 1987;30/11/1987;03/12/1995;Sullens (VD),Lutry (VD);02/03/1938;
FAUX;Mario;Agustoni;m;Tessin;TI;Conseil national;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;06/12/1943;30/11/1947;Monte (TI);03/01/1902;28/10/1982
FAUX;Mario;Agustoni;m;Tessin;TI;Conseil national;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;02/12/1963;08/02/1965;Monte (TI);03/01/1902;28/10/1982
FAUX;Giovanni;Airoldi;m;Tessin;TI;Conseil des Etats;Centre;MC;Partito dei Popolini poi Fusionisti;PdP->Fusio;;;;;05/07/1852;01/02/1853;Lugano (TI);23/01/1823;03/08/1894
FAUX;Giovanni;Airoldi;m;Tessin;TI;Conseil des Etats;Centre;MC;Partito dei Popolini poi Fusionisti;PdP->Fusio;;;;;05/07/1869;01/01/1874;Lugano (TI);23/01/1823;03/08/1894
FAUX;Erwin;Akeret;m;Zurich;ZH;Conseil national;Groupe des Paysans, Artisans et Bourgeois;BGB;Paysans, Artisans et Bourgeois;PAB;;;;;05/12/1955;27/11/1983;Andelfingen (ZH),Nussbaumen (AG);08/01/1915;12/09/1987
FAUX;Jakob;Albrecht;m;Thurgovie;TG;Conseil des Etats;Gauche;LG;Libéral;Lib*;;;;;01/12/1851;01/06/1855;Müllheim (TG);24/02/1806;08/07/1855
FAUX;H. Jakob;Albrecht;m;Zurich;ZH;Conseil national;Centre;MC;Libéral;Lib*;;;;;01/01/1873;01/11/1874;Stadel (ZH);17/09/1825;25/06/1876
FAUX;Luigi;Albrecht;m;Grisons;GR;Conseil national;Groupe conservateur-catholique;K;Conservateurs;Cons*;;;;;06/12/1943;24/01/1955;Somvix (GR),Lax (VS);24/10/1889;24/01/1955
FAUX;August;Albrecht;m;Nidwald;NW;Conseil national;Groupe conservateur-catholique sociale;K;Parti conservateur chrétien-social;CCS;;;;;04/12/1967;25/11/1979;Mels (SG);16/11/1907;12/04/1988
FAUX;Hans;Albrecht;m;St-Gall;SG;Conseil national;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;03/06/1952;06/12/1959;Mels (SG);02/10/1909;20/10/1995
FAUX;Prospero;Albrici;m;Grisons;GR;Conseil des Etats;;;Parti radical-démocratique suisse;PRD;;;;;07/07/1873;01/07/1874;Poschiavo (GR);18/03/1822;14/12/1883
FAUX;Claudius;Alder;m;Bâle-Campagne;BL;Conseil national;Groupe indépendant;U;Alliance des Indépendants;AdI;;;;;29/11/1971;27/11/1983;Schönengrund (AR),Ziefen (BL);28/03/1938;
FAUX;Fredi;Alder;m;St-Gall;SG;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Winterthur;Zurich;Kantonsrat seit 1988;04/12/1995;05/12/1999;Winterthur (ZH);14/04/1943;
FAUX;Peter;Aliesch;m;Grisons;GR;Conseil national;Groupe radical-libéral;R;Parti radical-démocratique suisse;PRD;;;;;28/11/1983;31/12/1990;Fanas (GR),Chur (GR);26/11/1946;
FAUX;Werner;Allemann;m;Argovie;AG;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;18/09/1944;01/12/1963;Farnern (BE);25/07/1902;23/08/1972
FAUX;Evi;Allemann;f;Berne;BE;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Berne;Berne;Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003;03/12/2007;04/12/2011;Köniz (BE),Welschenrohr (SO);16/07/1978;
FAUX;Evi;Allemann;f;Berne;BE;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Berne;Berne;Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003;05/12/2011;29/11/2015;Köniz (BE),Welschenrohr (SO);16/07/1978;
FAUX;Evi;Allemann;f;Berne;BE;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Berne;Berne;Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003;30/11/2015;28/05/2018;Köniz (BE),Welschenrohr (SO);16/07/1978;
FAUX;Evi;Allemann;f;Berne;BE;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Berne;Berne;Legislative des Kantons (Grossrätin): von Juni 1998 bis November 2003;01/12/2003;02/12/2007;Köniz (BE),Welschenrohr (SO);16/07/1978;
FAUX;Heinz;Allenspach;m;Zurich;ZH;Conseil national;Groupe radical-libéral;R;Parti radical-démocratique suisse;PRD;;;;;26/11/1979;03/12/1995;Kreuzlingen (TG),Fällanden (ZH);22/02/1928;
FAUX;Alexis;Allet;m;Valais;VS;Conseil national;;;Conservateurs;Cons*;;;;;01/12/1851;01/12/1872;Loèche-La-Ville (VS);09/04/1820;01/02/1888
FAUX;Werner;Allgöwer;m;Lucerne;LU;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;;;;05/06/1950;04/12/1955;St-Gall (SG),Lucerne (LU);24/03/1879;21/02/1966
FAUX;Walter;Allgöwer;m;Bâle-Ville;BS;Conseil national;Groupe indépendant;U;Alliance des Indépendants;AdI;;;;;02/12/1963;25/11/1979;St-Gall (SG);18/08/1912;16/04/1980
FAUX;Alexandre Félix;Alméras;m;Genève;GE;Conseil des Etats;;;Parti radical-démocratique suisse;PRD;;;;;09/01/1860;01/12/1862;Genève (GE);29/01/1811;11/12/1868
FAUX;Alexandre Félix;Alméras;m;Genève;GE;Conseil national;;;Parti radical-démocratique suisse;PRD;;;;;06/11/1848;03/12/1854;Genève (GE);29/01/1811;11/12/1868
FAUX;Hermann;Altherr;m;Appenzell Rh.-Ext.;AR;Conseil national;;;Parti radical-démocratique suisse;PRD;;;;;05/06/1905;03/12/1911;Speicher (AR);28/02/1848;04/11/1927
FAUX;Hans;Altherr;m;Appenzell Rh.-Ext.;AR;Conseil des Etats;Groupe radical-libéral;RL;Parti radical-démocratique suisse;PRD;;St. Gall;St-Gall;"Exekutive der Gemeinde: von April 1976 bis April 1993; Gemeindepräsident: von April 1981 bis April 1987 sowie von April 1988 bis April 1993; Legislative des Kantons: von April 1989 bis April 1998; Exekutive des Kantons: von April 1998 bis Mai 2005 (Landammann: von April 2000 bis April 2003)";08/03/2004;02/12/2007;Trogen (AR);29/04/1950;
FAUX;Hans;Altherr;m;Appenzell Rh.-Ext.;AR;Conseil des Etats;Groupe libéral-radical;RL;PLR.Les Libéraux-Radicaux;PLR;;St. Gall;St-Gall;"Exekutive der Gemeinde: von April 1976 bis April 1993; Gemeindepräsident: von April 1981 bis April 1987 sowie von April 1988 bis April 1993; Legislative des Kantons: von April 1989 bis April 1998; Exekutive des Kantons: von April 1998 bis Mai 2005 (Landammann: von April 2000 bis April 2003)";05/12/2011;29/11/2015;Trogen (AR);29/04/1950;
FAUX;Hans;Altherr;m;Appenzell Rh.-Ext.;AR;Conseil des Etats;Groupe radical-libéral;RL;Parti radical-démocratique suisse;PRD;;St. Gall;St-Gall;"Exekutive der Gemeinde: von April 1976 bis April 1993; Gemeindepräsident: von April 1981 bis April 1987 sowie von April 1988 bis April 1993; Legislative des Kantons: von April 1989 bis April 1998; Exekutive des Kantons: von April 1998 bis Mai 2005 (Landammann: von April 2000 bis April 2003)";03/12/2007;04/12/2011;Trogen (AR);29/04/1950;
FAUX;Gustav;Altherr;m;Appenzell Rh.-Ext.;AR;Conseil national;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;01/06/1931;01/12/1935;Speicher (AR);28/08/1870;18/07/1954
FAUX;Johannes;Altwegg;m;Thurgovie;TG;Conseil des Etats;;;Parti radical-démocratique suisse;PRD;;;;;29/11/1880;17/11/1888;Herrenhof (TG),Frauenfeld (TG);21/11/1847;17/11/1888
FAUX;Paul;Altwegg;m;Thurgovie;TG;Conseil des Etats;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;02/12/1935;02/12/1951;Herrenhof (TG),Frauenfeld (TG);09/03/1884;03/07/1952
FAUX;Paul;Altwegg;m;Thurgovie;TG;Conseil des Etats;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;02/12/1935;02/12/1951;Herrenhof (TG),Frauenfeld (TG);09/03/1884;03/07/1952
FAUX;Paul;Altwegg;m;Thurgovie;TG;Conseil des Etats;Groupe radical-démocratique;R;Parti radical-démocratique suisse;PRD;;;;;02/12/1935;02/12/1951;Herrenhof (TG),Frauenfeld (TG);09/03/1884;03/07/1952
FAUX;Antoine-Joseph;Amacker;m;Valais;VS;Conseil des Etats;Centre;MC;;;;;;;09/06/1857;01/05/1859;St-Maurice (VS);03/07/1794;17/03/1862
FAUX;Kathrin;Amacker-Amann;f;Bâle-Campagne;BL;Conseil national;Groupe PDC/PEV/PVL;CEg;Parti démocrate-chrétien suisse;PDC;;Bâle;Bâle-Ville;"Legislative der Gemeinde: Einwohnerrat Binningen seit Juli 2004; Legislative des Kantons: Landrat von Juli 2007 bis November 2007";03/12/2007;28/11/2010;Bâle (BS),Eischoll (VS);30/03/1962;
FAUX;Cesla;Amarelle;f;Vaud;VD;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Montevideo;;"Organe législatif du Canton: depuis juillet 2007 jusqu'à novembre 2011; Organe législatif de la ville d'Yverdon-Les-Bains: depuis 2009 jusqu'à novembre 2011";05/12/2011;29/11/2015;Winterthur (ZH),Yverdon-les-Bains (VD);14/09/1973;
FAUX;Cesla;Amarelle;f;Vaud;VD;Conseil national;Groupe socialiste;S;Parti socialiste suisse;PSS;;Montevideo;;"Organe législatif du Canton: depuis juillet 2007 jusqu'à novembre 2011; Organe législatif de la ville d'Yverdon-Les-Bains: depuis 2009 jusqu'à novembre 2011";30/11/2015;14/06/2017;Winterthur (ZH),Yverdon-les-Bains (VD);14/09/1973;
FAUX;Céline;Amaudruz;f;Genève;GE;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;;Genève;Genève;"Organe législatif cantonal: depuis octobre 2009 jusqu'à octobre 2011; Organe législatif de la commune de Puplinge: depuis mars 2011 jusqu'à mars 2015";05/12/2011;29/11/2015;Lutry (VD);15/03/1979;
VRAI;Céline;Amaudruz;f;Genève;GE;Conseil national;Groupe de l'Union démocratique du Centre;V;Union Démocratique du Centre;UDC;;Genève;Genève;"Organe législatif cantonal: depuis octobre 2009 jusqu'à octobre 2011; Organe législatif de la commune de Puplinge: depuis mars 2011 jusqu'à mars 2015";30/11/2015;;Lutry (VD);15/03/1979;
